country_iso3,t,gdp,gdpcap,pop,source
USA,2040,30009000863496.832,78552.91639322248,382022746.46655893,OptionA
USA,2045,31910545813485.35,81449.14783122776,391784894.7862262,OptionA
USA,2050,33663211594948.72,83940.99064683127,401034242.45469624,OptionA
USA,2055,35426037342876.0,86349.51479600489,410263305.2029036,OptionA
USA,2060,37278516095823.3,88842.85025164504,419600631.79234886,OptionA
USA,2065,39216843727411.2,91542.66308178428,428399638.0176841,OptionA
USA,2070,41078014100928.305,94160.47879833623,436255365.5754577,OptionA
UZB,2012,67517349212.0609,2307.34649117185,29261903.0,WB
UZB,2013,73180037914.9104,2461.97947403595,29724065.0,WB
UZB,2014,80845385809.4529,2674.9628382103,30222994.0,WB
UZB,2015,86196264755.3105,2803.19018021751,30749346.0,WB
UZB,2016,86138288644.171,2753.37951427589,31284568.0,WB
UZB,2017,69703222282.7278,2190.60411562888,31819178.0,WB
UZB,2018,58695899092.1083,1813.08530813664,32373490.0,WB
UZB,2019,67293639798.3996,2041.38480729431,32964701.0,WB
